PLANE_ID,SATELLITES,RAAN,INCLINATION,ARG_OF_PERIGEE,PERIOD,APOGEE,PERIGEE,ARC_BEGIN,ARC_END,SUB_CONSTELLATION,RAAN
150,1,9.4,53,0,5486,345,345,0,360,VLEO,9.4
151,1,9.5,53,0,5486,345,345,0,360,VLEO,9.5
152,1,9.7,53,0,5486,345,345,0,360,VLEO,9.7
153,1,9.8,53,0,5486,345,345,0,360,VLEO,9.8
154,1,10,53,0,5486,345,345,0,360,VLEO,10
155,1,10.1,53,0,5486,345,345,0,360,VLEO,10.1
156,1,10.3,53,0,5486,345,345,0,360,VLEO,10.3
157,1,10.4,53,0,5486,345,345,0,360,VLEO,10.4
158,1,10.5,53,0,5486,345,345,0,360,VLEO,10.5
159,1,10.7,53,0,5486,345,345,0,360,VLEO,10.7
160,1,10.8,53,0,5486,345,345,0,360,VLEO,10.8
161,1,11,53,0,5486,345,345,0,360,VLEO,11
162,1,11.1,53,0,5486,345,345,0,360,VLEO,11.1
163,1,11.2,53,0,5486,345,345,0,360,VLEO,11.2
164,1,11.4,53,0,5486,345,345,0,360,VLEO,11.4
165,1,11.5,53,0,5486,345,345,0,360,VLEO,11.5
166,1,11.7,53,0,5486,345,345,0,360,VLEO,11.7
167,1,11.8,53,0,5486,345,345,0,360,VLEO,11.8
168,1,11.9,53,0,5486,345,345,0,360,VLEO,11.9
169,1,12.1,53,0,5486,345,345,0,360,VLEO,12.1
170,1,12.2,53,0,5486,345,345,0,360,VLEO,12.2
171,1,12.4,53,0,5486,345,345,0,360,VLEO,12.4
172,1,12.5,53,0,5486,345,345,0,360,VLEO,12.5
173,1,12.7,53,0,5486,345,345,0,360,VLEO,12.7
174,1,12.8,53,0,5486,345,345,0,360,VLEO,12.8
175,1,12.9,53,0,5486,345,345,0,360,VLEO,12.9
176,1,13.1,53,0,5486,345,345,0,360,VLEO,13.1
177,1,13.2,53,0,5486,345,345,0,360,VLEO,13.2
178,1,13.4,53,0,5486,345,345,0,360,VLEO,13.4
179,1,13.5,53,0,5486,345,345,0,360,VLEO,13.5
180,1,13.6,53,0,5486,345,345,0,360,VLEO,13.6
181,1,13.8,53,0,5486,345,345,0,360,VLEO,13.8
182,1,13.9,53,0,5486,345,345,0,360,VLEO,13.9
183,1,14.1,53,0,5486,345,345,0,360,VLEO,14.1
184,1,14.2,53,0,5486,345,345,0,360,VLEO,14.2
185,1,14.4,53,0,5486,345,345,0,360,VLEO,14.4
186,1,14.5,53,0,5486,345,345,0,360,VLEO,14.5
187,1,14.6,53,0,5486,345,345,0,360,VLEO,14.6
188,1,14.8,53,0,5486,345,345,0,360,VLEO,14.8
189,1,14.9,53,0,5486,345,345,0,360,VLEO,14.9
190,1,15.1,53,0,5486,345,345,0,360,VLEO,15.1
191,1,15.2,53,0,5486,345,345,0,360,VLEO,15.2
192,1,15.3,53,0,5486,345,345,0,360,VLEO,15.3
193,1,15.5,53,0,5486,345,345,0,360,VLEO,15.5
194,1,15.6,53,0,5486,345,345,0,360,VLEO,15.6
195,1,15.8,53,0,5486,345,345,0,360,VLEO,15.8
196,1,15.9,53,0,5486,345,345,0,360,VLEO,15.9
197,1,16,53,0,5486,345,345,0,360,VLEO,16
198,1,16.2,53,0,5486,345,345,0,360,VLEO,16.2
199,1,16.3,53,0,5486,345,345,0,360,VLEO,16.3
200,1,16.5,53,0,5486,345,345,0,360,VLEO,16.5
201,1,16.6,53,0,5486,345,345,0,360,VLEO,16.6
202,1,16.8,53,0,5486,345,345,0,360,VLEO,16.8
203,1,16.9,53,0,5486,345,345,0,360,VLEO,16.9
204,1,17,53,0,5486,345,345,0,360,VLEO,17
205,1,17.2,53,0,5486,345,345,0,360,VLEO,17.2
206,1,17.3,53,0,5486,345,345,0,360,VLEO,17.3
207,1,17.5,53,0,5486,345,345,0,360,VLEO,17.5
208,1,17.6,53,0,5486,345,345,0,360,VLEO,17.6
209,1,17.7,53,0,5486,345,345,0,360,VLEO,17.7
210,1,17.9,53,0,5486,345,345,0,360,VLEO,17.9
211,1,18,53,0,5486,345,345,0,360,VLEO,18
212,1,18.2,53,0,5486,345,345,0,360,VLEO,18.2
213,1,18.3,53,0,5486,345,345,0,360,VLEO,18.3
214,1,18.4,53,0,5486,345,345,0,360,VLEO,18.4
215,1,18.6,53,0,5486,345,345,0,360,VLEO,18.6
216,1,18.7,53,0,5486,345,345,0,360,VLEO,18.7
217,1,18.9,53,0,5486,345,345,0,360,VLEO,18.9
218,1,19,53,0,5486,345,345,0,360,VLEO,19
219,1,19.2,53,0,5486,345,345,0,360,VLEO,19.2
220,1,19.3,53,0,5486,345,345,0,360,VLEO,19.3
221,1,19.4,53,0,5486,345,345,0,360,VLEO,19.4
222,1,19.6,53,0,5486,345,345,0,360,VLEO,19.6
223,1,19.7,53,0,5486,345,345,0,360,VLEO,19.7
224,1,19.9,53,0,5486,345,345,0,360,VLEO,19.9
225,1,20,53,0,5486,345,345,0,360,VLEO,20
226,1,20.1,53,0,5486,345,345,0,360,VLEO,20.1
227,1,20.3,53,0,5486,345,345,0,360,VLEO,20.3
228,1,20.4,53,0,5486,345,345,0,360,VLEO,20.4
229,1,20.6,53,0,5486,345,345,0,360,VLEO,20.6
230,1,20.7,53,0,5486,345,345,0,360,VLEO,20.7
231,1,20.9,53,0,5486,345,345,0,360,VLEO,20.9
232,1,21,53,0,5486,345,345,0,360,VLEO,21
233,1,21.1,53,0,5486,345,345,0,360,VLEO,21.1
234,1,21.3,53,0,5486,345,345,0,360,VLEO,21.3
235,1,21.4,53,0,5486,345,345,0,360,VLEO,21.4
236,1,21.6,53,0,5486,345,345,0,360,VLEO,21.6
237,1,21.7,53,0,5486,345,345,0,360,VLEO,21.7
238,1,21.8,53,0,5486,345,345,0,360,VLEO,21.8
239,1,22,53,0,5486,345,345,0,360,VLEO,22
240,1,22.1,53,0,5486,345,345,0,360,VLEO,22.1
241,1,22.3,53,0,5486,345,345,0,360,VLEO,22.3
242,1,22.4,53,0,5486,345,345,0,360,VLEO,22.4
243,1,22.5,53,0,5486,345,345,0,360,VLEO,22.5
244,1,22.7,53,0,5486,345,345,0,360,VLEO,22.7
245,1,22.8,53,0,5486,345,345,0,360,VLEO,22.8
246,1,23,53,0,5486,345,345,0,360,VLEO,23
247,1,23.1,53,0,5486,345,345,0,360,VLEO,23.1
248,1,23.3,53,0,5486,345,345,0,360,VLEO,23.3
249,1,23.4,53,0,5486,345,345,0,360,VLEO,23.4
250,1,23.5,53,0,5486,345,345,0,360,VLEO,23.5
251,1,23.7,53,0,5486,345,345,0,360,VLEO,23.7
252,1,23.8,53,0,5486,345,345,0,360,VLEO,23.8
253,1,24,53,0,5486,345,345,0,360,VLEO,24
254,1,24.1,53,0,5486,345,345,0,360,VLEO,24.1
255,1,24.2,53,0,5486,345,345,0,360,VLEO,24.2
256,1,24.4,53,0,5486,345,345,0,360,VLEO,24.4
257,1,24.5,53,0,5486,345,345,0,360,VLEO,24.5
258,1,24.7,53,0,5486,345,345,0,360,VLEO,24.7
259,1,24.8,53,0,5486,345,345,0,360,VLEO,24.8
260,1,24.9,53,0,5486,345,345,0,360,VLEO,24.9
261,1,25.1,53,0,5486,345,345,0,360,VLEO,25.1
262,1,25.2,53,0,5486,345,345,0,360,VLEO,25.2
263,1,25.4,53,0,5486,345,345,0,360,VLEO,25.4
264,1,25.5,53,0,5486,345,345,0,360,VLEO,25.5
265,1,25.7,53,0,5486,345,345,0,360,VLEO,25.7
266,1,25.8,53,0,5486,345,345,0,360,VLEO,25.8
267,1,25.9,53,0,5486,345,345,0,360,VLEO,25.9
268,1,26.1,53,0,5486,345,345,0,360,VLEO,26.1
269,1,26.2,53,0,5486,345,345,0,360,VLEO,26.2
270,1,26.4,53,0,5486,345,345,0,360,VLEO,26.4
271,1,26.5,53,0,5486,345,345,0,360,VLEO,26.5
272,1,26.6,53,0,5486,345,345,0,360,VLEO,26.6
273,1,26.8,53,0,5486,345,345,0,360,VLEO,26.8
274,1,26.9,53,0,5486,345,345,0,360,VLEO,26.9
275,1,27.1,53,0,5486,345,345,0,360,VLEO,27.1
276,1,27.2,53,0,5486,345,345,0,360,VLEO,27.2
277,1,27.4,53,0,5486,345,345,0,360,VLEO,27.4
278,1,27.5,53,0,5486,345,345,0,360,VLEO,27.5
279,1,27.6,53,0,5486,345,345,0,360,VLEO,27.6
280,1,27.8,53,0,5486,345,345,0,360,VLEO,27.8
281,1,27.9,53,0,5486,345,345,0,360,VLEO,27.9
282,1,28.1,53,0,5486,345,345,0,360,VLEO,28.1
283,1,28.2,53,0,5486,345,345,0,360,VLEO,28.2
284,1,28.3,53,0,5486,345,345,0,360,VLEO,28.3
285,1,28.5,53,0,5486,345,345,0,360,VLEO,28.5
286,1,28.6,53,0,5486,345,345,0,360,VLEO,28.6
287,1,28.8,53,0,5486,345,345,0,360,VLEO,28.8
288,1,28.9,53,0,5486,345,345,0,360,VLEO,28.9
289,1,29,53,0,5486,345,345,0,360,VLEO,29
290,1,29.2,53,0,5486,345,345,0,360,VLEO,29.2
291,1,29.3,53,0,5486,345,345,0,360,VLEO,29.3
292,1,29.5,53,0,5486,345,345,0,360,VLEO,29.5
293,1,29.6,53,0,5486,345,345,0,360,VLEO,29.6
294,1,29.8,53,0,5486,345,345,0,360,VLEO,29.8
295,1,29.9,53,0,5486,345,345,0,360,VLEO,29.9
296,1,30,53,0,5486,345,345,0,360,VLEO,30
297,1,30.2,53,0,5486,345,345,0,360,VLEO,30.2
298,1,30.3,53,0,5486,345,345,0,360,VLEO,30.3
299,1,30.5,53,0,5486,345,345,0,360,VLEO,30.5
300,1,30.6,53,0,5486,345,345,0,360,VLEO,30.6
301,1,30.7,53,0,5486,345,345,0,360,VLEO,30.7
302,1,30.9,53,0,5486,345,345,0,360,VLEO,30.9
303,1,31,53,0,5486,345,345,0,360,VLEO,31
304,1,31.2,53,0,5486,345,345,0,360,VLEO,31.2
305,1,31.3,53,0,5486,345,345,0,360,VLEO,31.3
306,1,31.4,53,0,5486,345,345,0,360,VLEO,31.4
307,1,31.6,53,0,5486,345,345,0,360,VLEO,31.6
308,1,31.7,53,0,5486,345,345,0,360,VLEO,31.7
309,1,31.9,53,0,5486,345,345,0,360,VLEO,31.9
310,1,32,53,0,5486,345,345,0,360,VLEO,32
311,1,32.2,53,0,5486,345,345,0,360,VLEO,32.2
312,1,32.3,53,0,5486,345,345,0,360,VLEO,32.3
313,1,32.4,53,0,5486,345,345,0,360,VLEO,32.4
314,1,32.6,53,0,5486,345,345,0,360,VLEO,32.6
315,1,32.7,53,0,5486,345,345,0,360,VLEO,32.7
